movie_ID,movie_title,duration,color,title_year,country,language,content_rating,budget_USD,gross_USD,net_USD,profitable,director_name,director_top20?,director_facebook?,director_facebook_likes,actor_1_name,actor_top20?,actor_1_facebook?,actor_1_facebook_likes,actor_2_name,actor_top20?,actor_2_facebook?,actor_2_facebook_likes,actor_3_name,actor_top20?,actor_3_facebook?,actor_3_facebook_likes,cast_total_facebook_likes,movie_facebook?,movie_facebook_likes;,facenumber_in_poster,num_voted_users,num_user_for_reviews,imdb_score,imdb_top_250
1,Avatar,178,1,2009,USA,English,PG-13,237000000,760505847,523505847,1,James Cameron,#REF!,0,0,CCH Pounder,0,1,1000,Joel David Moore,0,1,936,Wes Studi,0,1,855,4834,1,33000,0,886204,3054,7.9,0
2,Pirates of the Caribbean: At World's End,169,1,2007,USA,English,PG-13,300000000,309404152,9404152,1,Gore Verbinski,0,1,563,Johnny Depp,1,1,40000,Orlando Bloom,0,1,5000,Jack Davenport,0,1,1000,48350,0,0,0,471220,1238,7.1,0
3,The Dark Knight Rises,164,1,2012,USA,English,PG-13,250000000,448130642,198130642,1,Christopher Nolan,0,1,22000,Tom Hardy,0,1,27000,Christian Bale,1,1,23000,Joseph Gordon-Levitt,0,1,23000,106759,1,164000,0,1144337,2701,8.5,1
4,Spider-Man 3,156,1,2007,USA,English,PG-13,258000000,336530303,78530303,1,Sam Raimi,1,0,0,J.K. Simmons,1,1,24000,James Franco,0,1,11000,Kirsten Dunst,0,1,4000,46055,0,0,0,383056,1902,6.2,0
5,Batman v Superman: Dawn of Justice,183,1,2016,USA,English,PG-13,250000000,330249062,80249062,1,Zack Snyder,0,0,0,Henry Cavill,0,1,15000,Lauren Cohan,0,1,4000,Alan D. Purwin,0,1,2000,24450,1,197000,0,371639,3018,6.9,0
6,Superman Returns,169,1,2006,USA,English,PG-13,209000000,200069408,-8930592,0,Bryan Singer,0,0,0,Kevin Spacey,0,1,18000,Marlon Brando,0,1,10000,Frank Langella,0,1,903,29991,0,0,0,240396,2367,6.1,0
7,Man of Steel,143,1,2013,USA,English,PG-13,225000000,291021565,66021565,1,Zack Snyder,0,0,0,Henry Cavill,0,1,15000,Christopher Meloni,0,1,3000,Harry Lennix,0,1,748,20495,1,118000,0,548573,2536,7.2,0
8,The Hobbit: The Battle of the Five Armies,164,1,2014,New Zealand,English,PG-13,250000000,255108370,5108370,1,Peter Jackson,0,0,0,Aidan Turner,0,1,5000,Adam Brown,0,1,972,James Nesbitt,0,1,773,9152,1,65000,0,354228,802,7.5,0
9,The Amazing Spider-Man,153,1,2012,USA,English,PG-13,230000000,262030663,32030663,1,Marc Webb,0,1,464,Emma Stone,0,1,15000,Andrew Garfield,0,1,10000,Chris Zylka,0,1,963,28489,1,56000,0,451803,1225,7,0
10,Robin Hood,156,1,2010,USA,English,PG-13,200000000,105219735,-94780265,0,Ridley Scott,1,0,0,Mark Addy,0,1,891,William Hurt,0,1,882,Scott Grimes,0,1,738,3244,1,17000,0,211765,546,6.7,0
11,King Kong,201,1,2005,New Zealand,English,PG-13,207000000,218051260,11051260,1,Peter Jackson,0,0,0,Naomi Watts,0,1,6000,Thomas Kretschmann,0,1,919,Evan Parke,0,1,84,7123,0,0,0,316018,2618,7.2,0
12,Titanic,194,1,1997,USA,English,PG-13,200000000,658672302,458672302,1,James Cameron,0,0,0,Leonardo DiCaprio,0,1,29000,Kate Winslet,0,1,14000,Gloria Stuart,0,1,794,45223,1,26000,0,793059,2528,7.7,0
13,Captain America: Civil War,147,1,2016,USA,English,PG-13,250000000,407197282,157197282,1,Anthony Russo,0,1,94,Robert Downey Jr.,1,1,21000,Scarlett Johansson,1,1,19000,Chris Evans,0,1,11000,64798,1,72000,0,272670,1022,8.2,1
14,Battleship,131,1,2012,USA,English,PG-13,209000000,65173160,-143826840,0,Peter Berg,0,1,532,Liam Neeson,1,1,14000,Alexander Skarsg??rd,0,1,10000,Tadanobu Asano,0,1,627,26679,1,44000,0,202382,751,5.9,0
15,Jurassic World,124,1,2015,USA,English,PG-13,150000000,652177271,502177271,1,Colin Trevorrow,0,1,365,Bryce Dallas Howard,0,1,3000,Judy Greer,0,1,2000,Omar Sy,0,1,1000,8458,1,150000,0,418214,1290,7,0
16,Skyfall,143,1,2012,UK,English,PG-13,200000000,304360277,104360277,1,Sam Mendes,0,0,0,Albert Finney,0,1,883,Helen McCrory,0,1,563,Rory Kinnear,0,1,393,2039,1,80000,0,522030,1498,7.8,0
17,Alice in Wonderland,108,1,2010,USA,English,PG,200000000,334185206,134185206,1,Tim Burton,1,1,13000,Johnny Depp,1,1,40000,Alan Rickman,0,1,25000,Anne Hathaway,0,1,11000,79957,1,24000,0,306320,736,6.5,0
18,X-Men: The Last Stand,104,1,2006,Canada,English,PG-13,210000000,234360014,24360014,1,Brett Ratner,0,1,420,Hugh Jackman,0,1,20000,Kelsey Grammer,0,1,808,Daniel Cudmore,0,1,560,21714,0,0,0,383427,1912,6.8,0
19,Monsters University,104,1,2013,USA,English,G,200000000,268488329,68488329,1,Dan Scanlon,0,1,37,Steve Buscemi,1,1,12000,Tyler Labine,0,1,779,Sean Hayes,0,1,760,14863,1,44000,0,235025,265,7.3,0
20,Transformers: Revenge of the Fallen,150,1,2009,USA,English,PG-13,200000000,402076689,202076689,1,Michael Bay,1,0,0,Glenn Morshower,0,1,894,Kevin Dunn,0,1,581,Ramon Rodriguez,0,1,464,3218,0,0,0,323207,1439,6,0
21,The Amazing Spider-Man 2,142,1,2014,USA,English,PG-13,200000000,202853933,2853933,1,Marc Webb,0,1,464,Emma Stone,0,1,15000,Andrew Garfield,0,1,10000,B.J. Novak,0,1,825,28631,1,41000,0,321227,1067,6.7,0
22,TRON: Legacy,125,1,2010,USA,English,PG,170000000,172051787,2051787,1,Joseph Kosinski,0,1,364,Jeff Bridges,0,1,12000,Olivia Wilde,0,1,10000,James Frain,0,1,1000,25550,1,30000,0,264183,665,6.8,0
23,Cars 2,106,1,2011,USA,English,G,200000000,191450875,-8549125,0,John Lasseter,0,1,487,Joe Mantegna,0,1,1000,Thomas Kretschmann,0,1,919,Eddie Izzard,0,1,776,4482,1,10000,0,101178,283,6.3,0
24,Terminator Salvation,118,1,2009,USA,English,PG-13,200000000,125320003,-74679997,0,McG,0,1,368,Christian Bale,1,1,23000,Bryce Dallas Howard,0,1,3000,Common,0,1,988,27468,0,0,0,286095,974,6.6,0
25,Furious 7,140,1,2015,USA,English,PG-13,190000000,350034110,160034110,1,James Wan,0,0,0,Jason Statham,0,1,26000,Paul Walker,0,1,23000,Vin Diesel,0,1,14000,79150,1,94000,0,278232,657,7.2,0
26,World War Z,123,1,2013,USA,English,PG-13,190000000,202351611,12351611,1,Marc Forster,0,1,395,Peter Capaldi,0,1,17000,Brad Pitt,1,1,11000,Mireille Enos,0,1,1000,32392,1,129000,0,465019,995,7,0
27,Star Trek Into Darkness,132,1,2013,USA,English,PG-13,190000000,228756232,38756232,1,J.J. Abrams,0,1,14000,Benedict Cumberbatch,0,1,19000,Bruce Greenwood,0,1,981,Noel Clarke,0,1,928,21411,1,92000,0,395573,1171,7.8,0
28,Pacific Rim,131,1,2013,USA,English,PG-13,190000000,101785482,-88214518,0,Guillermo del Toro,0,0,0,Charlie Hunnam,0,1,16000,Clifton Collins Jr.,0,1,968,Larry Joe Campbell,0,1,919,19166,1,83000,0,381148,1106,7,0
29,Brave,93,1,2012,USA,English,PG,185000000,237282182,52282182,1,Mark Andrews,0,1,56,Kelly Macdonald,0,1,2000,John Ratzenberger,0,1,1000,Julie Walters,0,1,838,5005,1,39000,0,273556,428,7.2,0
30,WALL-E,98,1,2008,USA,English,G,180000000,223806889,43806889,1,Andrew Stanton,0,1,475,John Ratzenberger,0,1,1000,Fred Willard,0,1,729,Jeff Garlin,0,1,522,2975,1,16000,0,718837,1043,8.4,1
31,2012,158,1,2009,USA,English,PG-13,200000000,166112167,-33887833,0,Roland Emmerich,0,1,776,Oliver Platt,0,1,1000,Liam James,0,1,468,Tom McCarthy,0,1,310,2144,1,13000,0,283418,1055,5.8,0
32,A Christmas Carol,96,1,2009,USA,English,PG,200000000,137850096,-62149904,0,Robert Zemeckis,1,0,0,Robin Wright,0,1,18000,Colin Firth,0,1,14000,Gary Oldman,0,1,10000,48878,0,0,0,72809,249,6.8,0
33,The Dark Knight,152,1,2008,USA,English,PG-13,185000000,533316061,348316061,1,Christopher Nolan,0,1,22000,Christian Bale,1,1,23000,Heath Ledger,0,1,13000,Morgan Freeman,1,1,11000,57802,1,37000,0,1676169,4667,9,1
34,Hugo,126,1,2011,USA,English,PG,170000000,73820094,-96179906,0,Martin Scorsese,1,1,17000,Chlo?? Grace Moretz,0,1,17000,Christopher Lee,0,1,16000,Ray Winstone,0,1,1000,36017,1,42000,0,245333,678,7.5,0
35,Evan Almighty,96,1,2007,USA,English,PG,175000000,100289690,-74710310,0,Tom Shadyac,0,1,293,Jimmy Bennett,0,1,87000,Morgan Freeman,1,1,11000,Steve Carell,0,1,7000,108016,1,2000,0,115099,257,5.4,0
36,Waterworld,176,1,1995,USA,English,PG-13,175000000,88246220,-86753780,0,Kevin Reynolds,0,1,58,Jeanne Tripplehorn,0,1,711,Rick Aviles,0,1,60,Zakes Mokae,0,1,60,1004,0,0,0,144337,309,6.1,0
37,The Jungle Book,106,1,2016,UK,English,PG,175000000,362645141,187645141,1,Jon Favreau,0,1,4000,Scarlett Johansson,1,1,19000,Bill Murray,1,1,13000,Garry Shandling,0,1,591,32921,1,65000,0,106072,398,7.8,0
38,Snow White and the Huntsman,132,1,2012,USA,English,PG-13,170000000,155111815,-14888185,0,Rupert Sanders,0,1,274,Chris Hemsworth,0,1,26000,Kristen Stewart,0,1,17000,Sam Claflin,0,1,11000,72881,1,53000,0,228554,710,6.1,0
39,Dawn of the Planet of the Apes,130,1,2014,USA,English,PG-13,170000000,208543795,38543795,1,Matt Reeves,0,1,198,Gary Oldman,0,1,10000,Judy Greer,0,1,2000,Kodi Smit-McPhee,0,1,884,14363,1,45000,0,317542,620,7.6,0
40,Big Hero 6,102,1,2014,USA,English,PG,165000000,222487711,57487711,1,Don Hall,0,1,38,Damon Wayans Jr.,0,1,756,Daniel Henney,0,1,719,Abraham Benrubi,0,1,562,2963,1,41000,0,279093,433,7.9,0
41,The Polar Express,100,1,2004,USA,English,G,165000000,665426,-164334574,0,Robert Zemeckis,1,0,0,Tom Hanks,1,1,15000,Eddie Deezen,0,1,726,Peter Scolari,0,1,267,16264,1,10000,0,120798,444,6.6,0
42,Independence Day: Resurgence,120,1,2016,USA,English,PG-13,165000000,102315545,-62684455,0,Roland Emmerich,0,1,776,Vivica A. Fox,0,1,890,Sela Ward,0,1,812,Judd Hirsch,0,1,535,3233,1,67000,0,58137,520,5.5,0
43,How to Train Your Dragon,98,1,2010,USA,English,PG,165000000,217387997,52387997,1,Dean DeBlois,0,1,255,Gerard Butler,0,1,18000,America Ferrera,0,1,953,Craig Ferguson,0,1,759,20453,1,33000,0,485430,492,8.2,1
44,Terminator 3: Rise of the Machines,109,1,2003,USA,English,R,200000000,150350192,-49649808,0,Jonathan Mostow,0,1,84,Nick Stahl,0,1,648,M.C. Gainey,0,1,284,Carolyn Hennesy,0,1,191,1769,0,0,0,305340,1676,6.4,0
45,Inception,148,1,2010,USA,English,PG-13,160000000,292568851,132568851,1,Christopher Nolan,0,1,22000,Leonardo DiCaprio,0,1,29000,Tom Hardy,0,1,27000,Joseph Gordon-Levitt,0,1,23000,81115,1,175000,0,1468200,2803,8.8,1
46,The Sorcerer's Apprentice,109,1,2010,USA,English,PG,150000000,63143812,-86856188,0,Jon Turteltaub,0,1,226,Nicolas Cage,1,1,12000,Omar Benson Miller,0,1,418,Robert Capron,0,1,370,13388,1,11000,0,124185,238,6.1,0
47,Poseidon,98,1,2006,USA,English,PG-13,160000000,60655503,-99344497,0,Wolfgang Petersen,0,1,249,Jimmy Bennett,0,1,87000,Mike Vogel,0,1,2000,Andre Braugher,0,1,702,92456,0,0,0,82380,629,5.6,0
